date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,low value goods,selling fees,fba fees,other transaction fees,other,total
1 Jul 2021 1:04:20 am GMT+9,10910510593,Order,503-1164664-018542511,FBA_AU-ARS_198_Cuticle_Scissors,ARSUK Cuticle Scissor Stainless Steel Sharp Nails Straight Blades. Manicure Nail scissors for Toenail fingernail Trimmer Multi-Purpose Pedicure Groomi,2,amazon.com.au,Amazon,FAIRFIELD,NSW,2165,9.98,0,0,0,0,0,-1.2,-3.92,0,0,4.86
1 Jul 2021 2:10:02 am GMT+9,10910510593,Order,503-9167936-344703111,FBA_AU-ARS_198_Cuticle_Scissors,ARSUK Cuticle Scissor Stainless Steel Sharp Nails Straight Blades. Manicure Nail scissors for Toenail fingernail Trimmer Multi-Purpose Pedicure Groomi,1,amazon.com.au,Amazon,WOLLSTONECRAFT,NSW,2065,4.99,0,0,0,0,0,-0.6,-1.96,0,0,2.43
