date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Nov. 1, 2021 3:42:54 p.m. PDT",14973562391,Service Fee,,,Subscription,,Amazon.ca,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-14.63,-14.63
"Nov. 10, 2021 12:09:33 p.m. PST",15037784081,Debt,,,amzn1.cam.v1.sgid.14973562391,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,14.63,14.63
"Nov. 12, 2021 5:35:44 a.m. PST",15037784081,Order,701-6812299-491220711,SFP_ Boot-Scraper-2brush-code:18039-BLK,"ARSUK Welly Boot Brush, Jack & Scraper, Robust Cast Iron Flower Outdoor Muddy (Welly Boot Brush Black)",2,amazon.ca,Seller,Brackendale,BC,V0N1H0,,239.98,0,17.13,0,0,0,0,0,0,-46.27,0,0,0,210.84
"Nov. 25, 2021 8:47:08 a.m. PST",15101443851,Transfer,,,To account ending with: 290,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-210.84,-210.84
"Nov. 29, 2021 5:49:23 a.m. PST",15101443851,Order,701-1840158-108104011,SFP_80043_Ship_Bell_Brass_6inch,"ARSUK School Hand Bells Silver and Brass plated Crystal Shiny And Heavy Product For long Term Use (6"" Solid Brass)",1,amazon.ca,Seller,Oakville,Ontario,L6H 3W7,,54.99,0,15.54,0,0,0,0,0,0,-12.7,0,0,0,57.83
