Data/Ora:,Numero pagamento,Tipo,Numero ordine,SKU,Descrizione,Quantità,Marketplace,Gestione,Città di provenienza dell'ordine,Provincia di provenienza dell'ordine,CAP dell'ordine,modello di riscossione delle imposte,Vendite,imposta sulle vendite dei prodotti,Accrediti per le spedizioni,imposta accrediti per le spedizioni,Accrediti per confezioni regalo,imposta sui crediti confezione regalo,Sconti promozionali,imposta sugli sconti promozionali,trattenuta IVA del marketplace,Commissioni di vendita,Costi del servizio Logistica di Amazon,Altri costi relativi alle transazioni,Altro,totale
1 lug 2021 00:16:28 UTC,15751615702,Ordine,406-4168171-651790211,FBA_6xppBabyContainerARS-78805Medium8pcs,ARSUK Mini Contenitori per alimenti per bambini. Senza BPA contenitori di plastica riutilizzabili con ermetici coperchi impilabili. adatti al microond,1,amazon.it,Amazon,Folignano,Ascoli Piceno,63084,,11.04,2.43,0,0,0,0,0,0,0,-2.08,-4.04,0,0,7.35
1 lug 2021 00:19:16 UTC,15751615702,Ordine,404-2419773-925230411,DE-FBA-TMI-1302-2-Green-Tweezers,Pinzetta per Sopracciglia in Acciaio Inox Pinzetta Professionali Obliqua per Sopracciglia Ciglia Finte Adatto a Grooming Strumenti di Bellezza Uomo Do,1,amazon.it,Amazon,Benevento,BN,82100,,4.99,0,0,0,0,0,0,0,0,-0.77,-2.74,0,0,1.48
