date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Jul 1, 2021 12:17:06 AM PDT",14414331861,Order,111-3670640-451060611,S&L-ARS-198-Cuticle-Scissors,ARSUK Professional Stainless Steel Finger Toe Nail Scissors Curved Manicure Cuticle Scissors,1,amazon.com,Standard Orders,Amazon,Belgrade,MO,63622,,4.34,0,0,0,0,0,0,0,0,-0.78,-2.16,0,0,1.4
"Jul 1, 2021 12:34:58 AM PDT",14414331861,Order,114-7999030-137781711,EU_5xpp_SpeedLoader-155_BLK,ARSUK Airsoft BB Speedloader 90 Round Black Plastic for 6mm BBS Gun Pistol Magazine (155 Rd BB Loader Black),1,amazon.com,Standard Orders,Amazon,Sacramento,CA,95821,MarketplaceFacilitator,7.29,0.56,0,0,0,0,0,0,-0.56,-1.31,-3.47,0,0,2.51
