date/heure,numéro de versement,type,numéro de la commande,sku,description,quantité,Marketplace,traitement,ville d'où provient la commande,Région d'où provient la commande,code postal de la commande,Modèle de perception des taxes,ventes de produits,Taxes sur la vente des produits,crédits d'expédition,taxe sur les crédits d’expédition,crédits sur l'emballage cadeau,Taxes sur les crédits cadeaux,Rabais promotionnels,Taxes sur les remises promotionnelles,Taxes retenues sur le site de vente,frais de vente,Frais Expédié par Amazon,autres frais de transaction,autre,total
1 nov. 2021 15:50:25 UTC,16478722902,Commande,403-6776274-9391527,FBA_Electric_peeler_White-B9xPP,ARSUK Multifonction Électrique Éplucheur Automatique Tournant Pomme Patate Peeling Machine Légume Coupeur Peeling Outil (Blanc),1,amazon.fr,Amazon,Cardan,,33410,MarketplaceFacilitator,19.99,4,0,0,0,0,0,0,-4,-3.71,-5.62,0,0,10.66
1 nov. 2021 16:14:08 UTC,16478722902,Commande,407-1162199-1961106,FBA_Electric_Peeler_Black,ARSUK Multifonction Électrique Éplucheur Automatique Tournant Pomme Patate Peeling Machine Légume Coupeur Peeling Outil (Noir),1,amazon.fr,Amazon,CHRIS,France,13140,MarketplaceFacilitator,19.99,4,0,0,0,0,0,0,-4,-3.71,-5.62,0,0,10.66
1 nov. 2021 17:36:48 UTC,16478722902,Commande,404-4924514-3182753,FBA_Red_Apple_Peeler_New,ARSUK Éplucheur de Pomme Légume Fruit Poire Patate Éplucheuse Carottier Coupeur Trancheur Machine à éplucher Noyau Enlèvement Outil (Rouge),1,amazon.fr,Amazon,Le garn,,30760,MarketplaceFacilitator,13.57,2.72,0,0,0,0,0,0,-2.72,-2.52,-5.62,0,0,5.43
1 nov. 2021 18:09:08 UTC,16478722902,Commande,402-3122107-3875503,FBA_Electric_peeler_White-B9xPP,ARSUK Multifonction Électrique Éplucheur Automatique Tournant Pomme Patate Peeling Machine Légume Coupeur Peeling Outil (Blanc),1,amazon.fr,Amazon,MEURSANGES,,21200,MarketplaceFacilitator,19.99,4,1.39,0.28,0,0,-1.39,-0.28,-4,-3.71,-5.62,0,0,10.66
1 nov. 2021 21:25:32 UTC,16478722902,Commande,171-1284255-6824311,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK balai vaporisateur d'eau Pulvérisation Nettoyant Sol Carrelage en marbre de cuisine 600 ml Micro Fibre,1,amazon.fr,Amazon,Paris,,75006,MarketplaceFacilitator,14.99,3,0,0,0,0,0,0,-3,-2.78,-5.85,0,0,6.36
1 nov. 2021 21:36:26 UTC,16478722902,Commande,403-6850688-5882746,Fba_Bxpp_ColourMarbels_100pcs,ARSUK Marbles 100 X Classique Rétro Verre Coloré Enfants Jouets Party Bag Fillers Staffers,1,amazon.fr,Amazon,Moisselles,France,95570,MarketplaceFacilitator,10.48,2.1,0,0,0,0,0,0,-2.1,-1.94,-4.08,0,0,4.46
1 nov. 2021 21:37:44 UTC,16478722902,Commande,407-6075433-3659501,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK balai vaporisateur d'eau Pulvérisation Nettoyant Sol Carrelage en marbre de cuisine 600 ml Micro Fibre,1,amazon.fr,Amazon,Bessancourt,,95550,MarketplaceFacilitator,14.74,2.95,0,0,0,0,0,0,-2.95,-2.73,-5.85,0,0,6.16
1 nov. 2021 22:29:51 UTC,16478722902,Commande,408-1475769-3413936,FBA_Green_Mop&Bucket_Set_Code:R-3S,ARSUK Ensemble Seau Essoreur et Balai à Franges en Microfibre. Seau Démontable et Vadrouille Magique Rotatif à 360° avec 2 Balai Remplaçable,1,amazon.fr,Amazon,Ste eusoye,,60480,MarketplaceFacilitator,33.41,6.68,4.16,0.83,0,0,-4.16,-0.83,-6.68,-6.19,-12.1,0,0,15.12
1 nov. 2021 22:46:24 UTC,16478722902,Ajustement,171-5390010-3580353,Axpp_mixed_Marbles_packof50,Remboursement Stock Expédié par Amazon - Retour Client ,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.26,1.26
1 nov. 2021 23:38:01 UTC,16522809282,Commande,405-1153926-5234713,FBA_ARS_GD04_4_Pair_Boot_Rack,ARSUK Support à chaussures en fonte robuste pour chaussures d'extérieur (4 paires Rack de démarrage),1,amazon.fr,Amazon,MALONNE,,5020,MarketplaceFacilitator,33.32,7,0,0,0,0,0,0,-7,-6.23,-8.16,0,0,18.93
1 nov. 2021 23:49:22 UTC,16522809282,Commande,171-5672845-8864342,Fba_Bxpp_ColourMarbels_100pcs,ARSUK Marbles 100 X Classique Rétro Verre Coloré Enfants Jouets Party Bag Fillers Staffers,1,amazon.fr,Amazon,wattrelos,,59150,MarketplaceFacilitator,10.48,2.1,0,0,0,0,0,0,-2.1,-1.94,-4.08,0,0,4.46
2 nov. 2021 00:17:08 UTC,16522809282,Commande,407-1198265-8441949,Fba_Bxpp_ColourMarbels_100pcs,ARSUK Marbles 100 X Classique Rétro Verre Coloré Enfants Jouets Party Bag Fillers Staffers,1,amazon.fr,Amazon,Montivilliers,,76290,MarketplaceFacilitator,10.48,2.1,0,0,0,0,0,0,-2.1,-1.94,-4.08,0,0,4.46
2 nov. 2021 00:24:02 UTC,16522809282,Commande,171-6251992-3864322,Boot-Scraper-2brush-code:18039-BLK,ARSUK Racleur de Botte pour Boueuses. Gratte-Bottes. Brosse pour Bottes en Forme d'hérisson pour Jardin Extérieur Fonte,1,amazon.fr,Amazon,Rouillon,,72700,MarketplaceFacilitator,29.16,5.83,4.16,0.83,0,0,-4.16,-0.83,-5.83,-5.41,-7.67,0,0,16.08
2 nov. 2021 00:32:54 UTC,16522809282,Commande,406-0034748-3382770,FBA_Boot-Scraper:18039-BLK,ARSUK Welly Démarrage Étagère. Métal Étagères à Chaussures Unité de Stockage. Petit bac à Chaussures. Wellington Support de Démarrage Extér,1,amazon.fr,Amazon,LE ROEULX,Belgium,7070,MarketplaceFacilitator,29.16,6.12,0,0,0,0,0,0,-6.12,-5.45,-7.67,0,0,16.04
2 nov. 2021 00:32:57 UTC,16522809282,Commande,406-0118015-2324350,FBA_Boot-Scraper:18039-BLK,ARSUK Welly Démarrage Étagère. Métal Étagères à Chaussures Unité de Stockage. Petit bac à Chaussures. Wellington Support de Démarrage Extér,1,amazon.fr,Amazon,Neuilly sur Seine,,92200,MarketplaceFacilitator,28.74,5.75,0,0,0,0,0,0,-5.75,-5.33,-7.67,0,0,15.74
2 nov. 2021 00:33:30 UTC,16522809282,Commande,407-7950798-9489948,FBA_Purple_SprayingMop_600ml_A2xpp,ARSUK Balai Vaporisateur d'eau Pulvérisation Nettoyant Sol Carrelage en marbre de Cuisine 600 ML Micro Fibre (Vadrouille à vaporiser 600ml Violet),1,amazon.fr,Amazon,Montigny les cormeilles,,95370,MarketplaceFacilitator,15.07,3.02,0,0,0,0,0,0,-3.02,-2.79,-5.85,0,0,6.43
2 nov. 2021 00:33:59 UTC,16522809282,Commande,406-0265768-1316322,FBA3xpp_500gm/packof1_Black_pebble,ARSUK Cailloux de Verre Pierres décoratives Perles pépites gemmes Carreaux de mosaïque pour Vases Artisanat Bols de Jardin réservoir de Poisson (1,2,amazon.fr,Amazon,Barvaux-Condroz,,5370,MarketplaceFacilitator,17.4,3.66,0,0,0,0,0,0,-3.66,-3.26,-8.16,0,0,5.98
2 nov. 2021 01:11:15 UTC,16522809282,Commande,403-9667653-6493919,FBA3xpp_500gm/packof1_Black_pebble,ARSUK Cailloux de Verre Pierres décoratives Perles pépites gemmes Carreaux de mosaïque pour Vases Artisanat Bols de Jardin réservoir de Poisson (1,1,amazon.fr,Amazon,Rouen,Ouest,76100,MarketplaceFacilitator,8.7,1.74,0,0,0,0,0,0,-1.74,-1.61,-4.08,0,0,3.01
2 nov. 2021 01:23:20 UTC,16522809282,Commande,403-7607971-8599514,FBA-5x7p_ARS04-TP Clear-2xPacks,ARSUK Galets Décoratifs en Verre. Pierres Perles Arrondies. Pierres. Gemmes (200 pcs / 1kg Galets Transparents),1,amazon.fr,Amazon,Beauvallon,St Andeol Le Chateau,69700,MarketplaceFacilitator,9.57,1.91,0,0,0,0,0,0,-1.91,-1.77,-5.85,0,0,1.95
2 nov. 2021 01:30:51 UTC,16522809282,Commande,403-6127963-4053153,FBA_apple_peeler_red_70099,ARSUK 3 en 1 Apple Éplucheur trancheuse Dicer Fruit Pomme de cuisine de pommes de terre évider machine Cutter (Rouge),1,amazon.fr,Amazon,st cyr sur loire,centre,37540,MarketplaceFacilitator,13.66,2.73,0,0,0,0,0,0,-2.73,-2.53,-5.62,0,0,5.51
2 nov. 2021 01:36:14 UTC,16522809282,Commande,408-7715319-5683542,FBA_Blue_Pebbles_1KG,ARSUK Cailloux de Verre Pierres décoratives Perles pépites gemmes Carreaux de mosaïque pour Vases Artisanat Bols de Jardin réservoir de Poisson (2,7,amazon.fr,Amazon,Antony,,92160,MarketplaceFacilitator,65.87,13.16,0,0,0,0,0,0,-13.16,-12.18,-40.95,0,0,12.74
2 nov. 2021 01:51:13 UTC,16522809282,Commande,402-4813420-0248303,FBA_Electric_peeler_White-B9xPP,ARSUK Multifonction Électrique Éplucheur Automatique Tournant Pomme Patate Peeling Machine Légume Coupeur Peeling Outil (Blanc),1,amazon.fr,Amazon,La Selle Guerchaise,,35130,MarketplaceFacilitator,19.99,4,0,0,0,0,0,0,-4,-3.71,-5.62,0,0,10.66
2 nov. 2021 01:52:36 UTC,16522809282,Commande,406-6283731-6749909,FBA-5x7p_ARS04-TP Clear-2xPacks,ARSUK Galets Décoratifs en Verre. Pierres Perles Arrondies. Pierres. Gemmes (200 pcs / 1kg Galets Transparents),3,amazon.fr,Amazon,combrit,,29120,MarketplaceFacilitator,28.71,5.73,0,0,0,0,0,0,-5.73,-5.31,-17.55,0,0,5.85
2 nov. 2021 01:53:16 UTC,16522809282,Commande,406-7772452-3365966,FBA_ARS-6569_Apple_Divider_DXPP,ARSUK Pomme Carottier Trancheuse Diviseur Coupeur Éplucheur et Pomme Carottier Dissolvant. 8 Acier Inoxydable Lames.et Facile Utilisation,1,amazon.fr,Amazon,PLUDUNO,,22130,,8.99,0,0,0,0,0,0,0,0,-1.39,-4.08,0,0,3.52
2 nov. 2021 02:07:57 UTC,16522809282,Commande,171-0541189-2397103,FBA_Electric_peeler_White-B9xPP,ARSUK Multifonction Électrique Éplucheur Automatique Tournant Pomme Patate Peeling Machine Légume Coupeur Peeling Outil (Blanc),1,amazon.fr,Amazon,COURBEVOIE,,92400,MarketplaceFacilitator,19.99,4,0,0,0,0,0,0,-4,-3.71,-5.62,0,0,10.66
