data/godzina,identyfikator rozliczenia,typ,identyfikator zamówienia,sku,opis,ilo??,rynek,realizacja,miejscowo?? zamówienia,stan zamówienia,przekaz pocztowy,sprzeda? produktów,noty kredytowe za wysy?k?,?rodki na pokrycie pakowania na prezent,rabaty promocyjne,pobrany podatek od sprzeda?y,Marketplace Facilitator Tax,op?aty za sprzeda?,op?aty za fba,inne op?aty transakcyjne,inne,suma
1 lis 2021 22:17:36 UTC,16478672372,Zamówienie,403-9297883-672190111,FBA_TL-Th_holder_Code_Tol-06-Black,ARSUK Uchwyt na rolk&#x119; toaletow&#x105; z pólk&#x105; na telefon komórkowy. kuchnia lazienka dozownik papieru do chusteczek. monta&#x17C; kleju,1,amazon.pl,Amazon,Le?ajsk,,37-300,49.22,3.25,0,-3.25,11.32,-11.32,-6.05,-5.66,0,0,37.51
2 lis 2021 04:27:24 UTC,16478672372,Zamówienie,406-7702235-236516411,FBA_greenApple_peeler_Hx99,ARSUK Obieraczka do jablek warzyw owoc gruszkowy ziemniak obieraczka rdzeniowa krajalnica krajalnica do obierania maszyna do usuwania rdzeni,1,amazon.pl,Amazon,Radom,,26-617,56.9,9.75,0,-9.75,13.09,-13.09,-7,-6.48,0,0,43.42
2 lis 2021 11:16:30 UTC,16478672372,Zamówienie,406-0719145-276511811,A_SF_16gm_Capsule_10_Pack,ARSUK 16 g gwintowane kartusze CO2 kapsula gazowa szybki wklad powietrza do pojazdów samochodowych Schrader nadmuchiwacz opon rowerowych pompa smar d,1,amazon.pl,Sprzedawca,Bielsko-Bia?a,,43-316,9.76,0,0,0,2.24,-2.24,-1,0,0,0,8.76
