data/godzina,identyfikator rozliczenia,typ,identyfikator zamówienia,sku,opis,ilo??,rynek,realizacja,miejscowo?? zamówienia,stan zamówienia,przekaz pocztowy,sprzeda? produktów,noty kredytowe za wysy?k?,?rodki na pokrycie pakowania na prezent,rabaty promocyjne,pobrany podatek od sprzeda?y,Marketplace Facilitator Tax,op?aty za sprzeda?,op?aty za fba,inne op?aty transakcyjne,inne,suma
12 lip 2021 14:44:35 UTC,14664050692,Zamówienie,408-4724472-0877953,SFP_Electric_peeler_White-B9xPP,ARSUK elektryczna obieraczka do ziemniaków jablko obieraczka owoc warzywo spiralizer nó&#x17C; automatyczny obrotowy narz&#x119;dzie kuchenne (bialy,1,amazon.pl,Sprzedawca,Borowie,,08-412,"89,42",0,0,0,"20,57","-20,57","-11,00",0,0,0,"78,42"
26 lip 2021 09:27:08 UTC,15757264762,Zamówienie,402-0040651-9688303,SFP_Electric_peeler_White-B9xPP,ARSUK elektryczna obieraczka do ziemniaków jablko obieraczka owoc warzywo spiralizer nó&#x17C; automatyczny obrotowy narz&#x119;dzie kuchenne (bialy,1,amazon.pl,Sprzedawca,Strzelce Kraje?skie,,66-500,"89,42",0,0,0,"20,57","-20,57","-11,00",0,0,0,"78,42"
