Datum/Uhrzeit,Abrechnungsnummer,Typ,Bestellnummer,SKU,Beschreibung,Menge,Marketplace,Versand,Ort der Bestellung,Bundesland,Postleitzahl,Steuererhebungsmodell,Umsätze,Produktumsatzsteuer,Gutschrift für Versandkosten,Steuer auf Versandgutschrift,Gutschrift für Geschenkverpackung,Steuer auf Geschenkverpackungsgutschriften,Rabatte aus Werbeaktionen,Steuer auf Aktionsrabatte,Einbehaltene Steuer auf Marketplace,Verkaufsgebühren,Gebühren zu Versand durch Amazon,Andere Transaktionsgebühren,Andere,Gesamt
30.06.2021 23:33:57 UTC,15751614412,Bestellung,028-1225264-351550211,FBA_27W_Replacement_Bulb_Expp,ARSUK Leuchtstoffröhre 27 W. Ersatz für natürliches Tageslicht / Sonneneinstrahlung. FML-Lampe. ideal für BB-DL210 [Energieklasse A+++] (27W Ersat,1,amazon.de,Amazon,gronau (westf.),,48599,,17.99,0,0,0,0,0,0,0,0,-2.7,-2.66,0,0,12.63
30.06.2021 23:44:37 UTC,15751614412,Bestellung,304-1915729-658270811,FBA-DxD9_Small-120ml_Containers(16pc),ARSUK 16 Stück Essen Aufbewahrungsbox Crispr 120 ml Mini Mikrowelle für Baby Kinder Kleinkind BPA-Frei,1,amazon.de,Amazon,Goldbach,,63773,,13.87,2.63,0,0,0,0,0,0,0,-2.48,-2.95,0,0,11.07
30.06.2021 23:44:52 UTC,15751614412,Bestellung,304-0546288-893472611,8xpp_code:ARS-HM,ARSUK große handgemachte blumige im Dunkeln leuchtende Gepunktete Glasmurmeln Verschiedene Sportspielzeuge Kinderspiele Laufen,1,amazon.de,Amazon,Steinheim,Baden-Württemberg,71711,,10.92,2.08,0,0,0,0,0,0,0,-1.95,-2.52,0,0,8.53
