tarih/saat,hesap kesim no,tip,sipari? no.,sku,aç?klama,adet,pazar yeri,gönderim,sipari? ?ehri,sipari? durumu,sipari? postas?,ürün sat??lar?,kargo kredileri,promosyon indirimleri,sat?? ücretleri,Amazon Lojistik ücretleri,di?er i?lem ücretleri,di?er,toplam
2 Ara 2021 15:50:00 UTC,16181729012,Sipari?,406-8220742-616034811,FBA_greenApple_peeler_Hx99,ARSUK Elma soyucu patates meyve kesici. elma çekirde&#x11F;i soyma makinesi,1,amazon.com.tr,Amazon,?zmir,,35100,169.56,87.67,0,-20.01,-123,0,0,114.22
3 Ara 2021 15:35:32 UTC,16181729012,Sipari?,408-0613647-556035311,A_FBA_16gm_Capsule_10_Pack,ARSUK 16 g Di&#x15F;li CO2 Kartu&#x15F;lar Gaz Kapsülü H&#x131;zl&#x131; Hava Doldurma Araba Araçlar&#x131; için Schrader &#x15E;i&#x15F;irici Bis,2,amazon.com.tr,Amazon,Istanbul,,34418,387.16,93.13,0,-45.69,-147.08,0,0,287.52
