datum/tijd,schikkings-ID,type,bestelnummer,sku,beschrijving,aantal,marketplace,fulfillment,bestelling stad,status bestelling,bestelling per post,verkoop van producten,Verzendtegoeden,kredietpunten cadeauverpakking,promotiekortingen,geïnde omzetbelasting,Belasting voor marketplace-facilitator,verkoopkosten,fba-vergoedingen,overige transactiekosten,overige,totaal
1 nov. 2021 16:38:12 UTC,16478724992,Bestelling,407-3283932-086916911,FBA_Ex79_ARS04BU_Blue pebbles(1 kg),Ronde decoratieve grinden/stenen in 6 verschillende kleuren donkerblauw,1,amazon.nl,Amazon,Apeldoorn,,7333CP,7.44,0,0,0,1.56,-1.56,-1.35,-3.84,0,0,2.25
1 nov. 2021 18:56:45 UTC,16478724992,Bestelling,405-8746792-745632511,FBA_Glass_Pebbles-MIXcolour-Packof_100,ARSUK Glas Pebbles Decoratieve Stenen Kralen Nuggets Edelstenen Mozaïek Tegels voor Vazen Ambachtelijke Tuin Bowls Aquarium (100 veelkleurige kiezels,1,amazon.nl,Amazon,Reeuwijk,,2811BB,5.96,0,0,0,1.25,-1.25,-1.08,-2.48,0,0,2.4
