date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfilment,order city,order state,order postal,tax collection model,product sales,product sales tax,postage credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
2 Jan 2022 11:21:23 UTC,16869853872,Order,204-7398326-9619514,FBA_Glass_Bowl_200ml_6pcs,Baby Food Storage Containers Set Freezer Food Pots Weaning Bowls Cubes BPA-Free Glass Mini Boxes 200ml x 6PCS,1,amazon.co.uk,Amazon,LONDON,,W5 2QW,,13.32,2.67,0,0,0,0,0,0,0,-2.45,-2.19,0,0,11.35
2 Jan 2022 17:01:59 UTC,16869853872,Order,026-4519530-9430750,FBA_Glass_Bowl_200ml_6pcs,Baby Food Storage Containers Set Freezer Food Pots Weaning Bowls Cubes BPA-Free Glass Mini Boxes 200ml x 6PCS,1,amazon.co.uk,Amazon,LONDON,,SW11 1EA,,13.32,2.67,0,0,0,0,0,0,0,-2.45,-2.19,0,0,11.35
