date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfilment,order city,order state,order postal,tax collection model,product sales,product sales tax,postage credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
1 Nov 2021 00:20:10 UTC,16478805912,Order,026-2609877-684270111,S&L-FBA-BxPP_TMI-1167_cuticlescissors,Nail Scissors Manicure Pedicure Stainless Steel Cuticle Scissor for Ingrowing toenail fingernail Trimmer Multi-purpose grooming beauty tools for Eyebr,1,amazon.co.uk,Amazon,Southport,Merseyside,PR8 4BT,,2.91,0.58,0,0,0,0,0,0,0,-0.46,-0.6,0,0,2.43
1 Nov 2021 00:24:13 UTC,16478805912,Order,204-8854855-817153711,FBA_7x4pPebbles_ClearARS04-TP-2XPACKS,200 Glass Pebbles Nuggets Beads Stones Mosaic Clear,1,amazon.co.uk,Amazon,COLCHESTER,,CO6 4BP,,8.21,1.64,0,0,0,0,0,0,0,-1.51,-2.21,0,0,6.13
